,Date,mean_daily_temperature,min_daily_temperature,max_daily_temperature,std_daily_temperature
0,2002-01-01,6.653822835286481,3.6048522949218977,9.062707519531273,1.7728926847200375
1,2002-01-02,3.61106135050458,-0.7839111328124773,6.734597778320335,2.3861896561356026
2,2002-01-03,3.4285350799560774,-0.11627807617185226,6.487603759765648,2.3331185091700744
3,2002-01-04,4.179975128173851,1.4934478759765852,7.19977722167971,2.084245389737238
4,2002-01-05,4.361713027954124,2.6619354248047102,6.407342529296898,1.292058668223997
5,2002-01-06,4.420481618245465,-0.21983947753903976,8.35901794433596,2.7105495339666037
6,2002-01-07,5.316719309488955,3.5506683349609602,7.881738281250023,1.491482849908307
7,2002-01-08,2.633177057902041,-0.11557617187497726,5.051965332031273,1.927093268115193
8,2002-01-09,3.9670946756998924,1.6204772949218977,6.176354980468773,1.6776171526036332
9,2002-01-10,6.504689788818382,4.879785156250023,8.932122802734398,1.4834679906512223
10,2002-01-11,5.151005681355817,1.1747833251953352,9.28736267089846,2.725254121748345
11,2002-01-12,5.536286290486676,1.2103820800781477,8.064782714843773,2.0576455924267365
12,2002-01-13,4.141940689086937,1.7997070312500227,6.203149414062523,1.6323895459245543
13,2002-01-14,5.918721771240257,4.16608581542971,8.67701110839846,1.6505150169647096
14,2002-01-15,7.316486612955752,5.441613769531273,10.197015380859398,1.7964954800520863
15,2002-01-16,9.16202570597333,7.291070556640648,11.753289794921898,1.6732583884025605
16,2002-01-17,7.584048843383812,3.8011566162109602,11.496728515625023,2.5704858522896323
17,2002-01-18,7.29619433085126,4.717553710937523,10.327752685546898,1.597031524353937
18,2002-01-19,4.0862092336019105,0.18630371093752274,7.472024536132835,2.3899383163051096
19,2002-01-20,4.1626551310221585,2.4713226318359602,6.094812011718773,1.2868586547870602
20,2002-01-21,2.412160491943382,-0.18475952148435226,4.38282165527346,1.6001326113719814
21,2002-01-22,2.1513839721679915,-0.9543518066406023,5.387170410156273,2.219543008432165
22,2002-01-23,4.1477727254231995,2.0327545166015852,6.879388427734398,1.811884762559554
23,2002-01-24,4.377940750122093,2.2452178955078352,6.776651000976585,1.4486946956991615
24,2002-01-25,2.1976530710856346,-0.5297912597656023,4.977044677734398,2.0148604213202237
25,2002-01-26,4.8793292999267805,1.2578216552734602,9.77961120605471,2.889988399107455
26,2002-01-27,4.0733505249023665,2.6532684326172102,6.358743286132835,1.2625653294027577
27,2002-01-28,2.543139394124372,-0.31120910644528976,4.94757995605471,1.806329036653077
28,2002-01-29,3.117203013102236,-0.24269714355466476,6.575830078125023,2.5541089848956844
29,2002-01-30,4.546186701456729,1.3981719970703352,7.408380126953148,2.1781503914494467
30,2002-01-31,5.895777638753278,1.1595703125000227,9.974389648437523,2.871768462209495
31,2002-02-01,6.8695026397705305,4.716180419921898,8.749719238281273,1.2103723317737591
32,2002-02-02,3.905765151977562,0.08445129394533524,7.79688415527346,2.5809462685375677
33,2002-02-03,5.473733520507835,4.086083984375023,7.121240234375023,0.928755721867324
34,2002-02-04,4.411717351277692,1.8153167724609602,7.306909179687523,2.058010200046154
35,2002-02-05,7.527287419637067,4.942163085937523,11.689965820312523,2.7701505442269636
36,2002-02-06,9.601931508382185,7.671197509765648,11.112954711914085,1.062495136197611
37,2002-02-07,5.6558700561523665,2.1805053710937727,10.068353271484398,3.0039203069577654
38,2002-02-08,7.0440339406331605,3.7708679199218977,10.811502075195335,2.2628465971997924
39,2002-02-09,3.2834767659505437,0.5968719482422102,6.54847106933596,2.041561224524963
40,2002-02-10,3.910340881347679,0.38402709960939774,6.686700439453148,1.9660488559140323
41,2002-02-11,4.436856842041038,2.0227752685547102,6.94800720214846,1.7317337928054943
42,2002-02-12,2.749024963378929,-1.4077819824218523,4.72333679199221,1.849695926537682
43,2002-02-13,1.681221262613955,-0.10985412597653976,3.5321441650390852,1.2216715306946233
44,2002-02-14,0.6048383076985905,-1.7856048583984148,2.9571777343750227,1.5303685874484927
45,2002-02-15,2.968909200032575,-0.030508422851539763,6.21283874511721,2.2047703047924783
46,2002-02-16,5.707492446899437,1.1273284912109602,11.534783935546898,3.7498877852962393
47,2002-02-17,10.724052047729515,5.435510253906273,17.462731933593773,4.7805468336495665
48,2002-02-18,10.562069829305036,7.783166503906273,14.097619628906273,2.0102994836931236
49,2002-02-19,9.085010782877626,6.453103637695335,12.11261901855471,2.0484959096565296
50,2002-02-20,9.443263626098656,5.258294677734398,12.106973266601585,1.7844432705087467
51,2002-02-21,3.9013579050700096,2.3580718994140852,5.473596191406273,1.021467437041796
52,2002-02-22,1.5056485493978091,-0.04492797851560226,3.0979858398437727,0.947600178456243
53,2002-02-23,1.2392911275228091,-1.6355804443359148,4.44776306152346,2.308090849353512
54,2002-02-24,4.61515324910484,1.0605407714843977,9.194909667968773,2.7706482371296133
55,2002-02-25,6.248212432861351,3.7390533447265852,8.04712829589846,1.4654314187053832
56,2002-02-26,2.733089701334658,0.19838867187502274,4.860391235351585,1.665815312663498
57,2002-02-27,4.5954452514648665,0.43106994628908524,10.053628540039085,3.4601990446498623
58,2002-02-28,4.770149485270205,3.1800476074218977,6.310342407226585,0.8598614893552013
59,2002-03-01,4.047198232014996,2.2682586669922102,6.822183227539085,1.4076291564259455
60,2002-03-02,2.4863379160563377,-0.6298736572265398,6.237527465820335,2.308403707830267
61,2002-03-03,3.829923884073916,1.5344482421875227,6.781152343750023,1.6585674070941565
62,2002-03-04,2.3915477752685774,-0.27512207031247726,6.048791503906273,2.4270645406838067
63,2002-03-05,4.687248484293643,2.8984008789062727,6.77692565917971,1.405417596958179
