,Date,mean_daily_temperature,min_daily_temperature,max_daily_temperature,std_daily_temperature
0,1966-01-01,6.782757059733096,3.9678131103515852,10.914727783203148,2.255410246624105
1,1966-01-02,6.97154833475751,4.962487792968773,9.26978454589846,1.3204795874223172
2,1966-01-03,6.930648422241234,5.822045898437523,8.676293945312523,0.8191970051293781
3,1966-01-04,6.156319554646832,4.435388183593773,8.579141235351585,1.4225881281820136
4,1966-01-05,7.026779429117862,4.949807739257835,10.08179626464846,1.546604319595827
5,1966-01-06,6.0660371144612855,3.9313903808593977,9.18201599121096,1.6715816780615478
6,1966-01-07,5.969566599528018,4.112176513671898,9.473428344726585,1.7056938082025843
7,1966-01-08,5.705235417683942,3.0785308837890852,9.10987243652346,2.009664672452231
8,1966-01-09,5.240254974365257,2.4757324218750227,8.547937011718773,1.9387601612078167
9,1966-01-10,6.759820556640648,4.76404724121096,9.66260681152346,1.556417286505388
10,1966-01-11,7.1244159698486555,4.93445739746096,10.424493408203148,1.7901463404203775
11,1966-01-12,6.472699101765973,3.9059387207031477,10.99738464355471,2.3293690840581194
12,1966-01-13,7.631403859456403,4.206903076171898,11.024011230468773,2.1227262196601777
13,1966-01-14,9.922966257731142,8.26917419433596,12.723809814453148,1.4921553730960386
14,1966-01-15,7.850244140625023,6.520181274414085,9.819757080078148,0.8706099623492729
15,1966-01-16,6.086321767171246,4.235391235351585,8.619180297851585,1.598489257767906
16,1966-01-17,7.532733535766624,4.227395629882835,10.786660766601585,1.859047575133432
17,1966-01-18,5.09018987019859,3.2625213623047102,7.490777587890648,1.250395584209279
18,1966-01-19,2.308439509073916,-1.2551177978515398,5.74750671386721,2.450258895239347
19,1966-01-20,4.550571695963565,1.9744354248047102,7.155007934570335,1.790031070223963
20,1966-01-21,4.4336003621419495,0.8833862304687727,7.010537719726585,2.044763541680188
21,1966-01-22,5.7897919972737855,3.8486724853515852,7.920755004882835,1.0729389651974337
22,1966-01-23,4.249806976318382,2.1469665527343977,6.203302001953148,1.3993516071953194
23,1966-01-24,5.135275777181012,3.1424041748047102,7.520806884765648,1.4919749571798155
24,1966-01-25,7.081466929117862,4.973611450195335,9.663934326171898,1.5631746554996355
25,1966-01-26,8.38101730346682,6.22504577636721,12.636636352539085,2.2726075477203636
26,1966-01-27,8.987322107950868,7.40876159667971,10.37439880371096,0.6761686514929286
27,1966-01-28,6.159228897094749,4.601007080078148,8.597955322265648,1.3639938098681417
28,1966-01-29,6.487389500935895,4.520852661132835,9.747659301757835,1.4021620044367071
29,1966-01-30,7.285692469278994,5.842828369140648,7.920327758789085,0.5279417763892611
30,1966-01-31,4.977122243245465,3.7725311279297102,6.795571899414085,1.043467500746278
31,1966-02-01,5.234116490681989,3.0463958740234602,7.523980712890648,1.666146510850323
32,1966-02-02,6.30217577616376,4.020684814453148,8.945657348632835,1.9370367996283477
33,1966-02-03,6.909082031250023,4.994790649414085,8.16083679199221,0.8453308116145908
34,1966-02-04,4.633456166585309,2.8626495361328352,6.85791931152346,1.2492264786643466
35,1966-02-05,3.7303278605143455,1.7795654296875227,7.072595214843773,1.841967785229857
36,1966-02-06,3.847430165608747,-0.9552368164062273,7.76575622558596,2.9407120583381814
37,1966-02-07,4.120435333251976,0.8995452880859602,6.995156860351585,2.006998421127411
38,1966-02-08,3.1326843261718977,0.6321807861328352,4.778787231445335,1.3961668551554813
39,1966-02-09,5.664294179280621,2.7328277587890852,8.802545166015648,2.059345210307395
40,1966-02-10,6.826636886596702,4.695336914062523,9.944390869140648,1.762922080679751
41,1966-02-11,7.085770543416364,4.953546142578148,10.302850341796898,1.865767156785843
42,1966-02-12,7.292112604777041,5.83265075683596,10.057397460937523,1.3114469678544467
43,1966-02-13,6.6254948933919495,5.437051391601585,8.44562683105471,1.0633754744306656
44,1966-02-14,6.661588923136416,3.0925231933593977,9.156945800781273,1.9361948665939879
45,1966-02-15,5.145139312744163,2.5152526855468977,7.28943786621096,1.5647930168205673
46,1966-02-16,5.586723581949893,3.3823944091797102,7.498651123046898,1.4496871858838392
47,1966-02-17,6.379688517252627,4.879266357421898,8.207238769531273,0.9529065877801361
48,1966-02-18,4.1133393605550355,2.2520233154297102,6.267007446289085,1.5488204538281167
49,1966-02-19,7.336807505289737,5.952203369140648,8.204766845703148,0.6804549120778829
50,1966-02-20,5.591799672444684,3.9237304687500227,8.250604248046898,1.5292757609946968
51,1966-02-21,6.668452199300153,5.35785827636721,8.048425292968773,0.7533327172011156
52,1966-02-22,4.217944081624371,2.5958801269531477,6.936929321289085,1.431242875988592
53,1966-02-23,4.289065933227562,2.3647094726562727,6.231973266601585,1.4142152060692572
54,1966-02-24,6.026827112833682,4.793984985351585,7.883294677734398,1.1383478565534075
55,1966-02-25,5.754092788696312,4.124978637695335,8.161050415039085,1.2426743769832245
56,1966-02-26,3.8305857340495018,2.5001617431640852,5.399072265625023,1.0201974050661766
57,1966-02-27,3.351296361287458,1.1200653076172102,4.962579345703148,1.2703733356590357
58,1966-02-28,3.7779867808024314,2.1991058349609602,5.38477478027346,1.08696250387705
59,1966-03-01,5.667501703898135,3.7388854980468977,8.55274353027346,1.7702020458218584
60,1966-03-02,7.308131154378278,4.37934265136721,10.595056152343773,1.9208072308498456
61,1966-03-03,6.302377955118838,3.8307128906250227,10.314553833007835,2.117417471154528
62,1966-03-04,5.467757797241234,1.5665527343750227,8.924707031250023,2.357254838771363
63,1966-03-05,6.453851954142276,4.230752563476585,9.003152465820335,1.258370913042221
64,1966-03-06,4.5291508992513245,2.5385833740234602,7.185891723632835,1.425013707347918
